Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
9,PA04,,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
10,PA05,,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
11,PA06,,Available,,,,,,NORMAL
12,PA07,,Available,,,,,,NORMAL
15,PA08,,Available,,,,,,NORMAL
16,PA09,,Available,,,,,,NORMAL
21,PA12,,Available,,,,,,NORMAL
22,PA13,,Available,,,,,,NORMAL
23,PA14,,Available,,,,,,NORMAL
24,PA15,,Available,,,,,,NORMAL
25,PA16,,Available,,,,,,NORMAL
26,PA17,,Available,,,,,,NORMAL
27,PA18,,Available,,,,,,NORMAL
28,PA19,,Available,,,,,,NORMAL
31,PA22,,Available,,,,,,NORMAL
32,PA23,,Available,,,,,,NORMAL
33,PA24,,Available,,,,,,NORMAL
34,PA25,,Available,,,,,,NORMAL
37,PB22,,Available,,,,,,NORMAL
38,PB23,,Available,,,,,,NORMAL
39,PA27,,Available,,,,,,NORMAL
41,PA28,,Available,,,,,,NORMAL
45,PA30,,Available,,,,,,NORMAL
46,PA31,,Available,,,,,,NORMAL
47,PB02,,Available,,,,,,NORMAL
48,PB03,,Available,,,,,,NORMAL
49,PC16,CLKM,GPIO,Digital,In,n/a,No,No,NORMAL
53,PB16,,Available,,,,,,NORMAL
54,PB17,,Available,,,,,,NORMAL
55,PA10,,Available,,,,,,NORMAL
56,PA11,,Available,,,,,,NORMAL
57,PB00,IRQ,EIC_EXTINT0,Digital,High Impedance,n/a,No,No,NORMAL
58,PC19,SPI_MISO,SERCOM4_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
59,PB30,SPI_MOSI,SERCOM4_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
60,PB15,_RST,GPIO,Digital,Out,Low,,,NORMAL
61,PC18,SPI_SCK,SERCOM4_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
62,PB31,SPI_SS,GPIO,Digital,Out,Low,,,NORMAL
63,PA20,SLP_TR,GPIO,Digital,Out,Low,,,NORMAL
64,PB14,,Available,,,,,,NORMAL
65,PB08,,Available,,,,,,NORMAL
66,PB09,,Available,,,,,,NORMAL
